code,system
1481.00,readv2
7271.00,readv2
7271000.0,readv2
7271100.0,readv2
7271z00,readv2
7271y00,readv2
F41y.00,readv2
F41yz00,readv2
FyuF400,readv2
F41..00,readv2
F410.00,readv2
F410000,readv2
F410z00,readv2
F413.00,readv2
F413z00,readv2
F41..11,readv2
F413100,readv2
F413200,readv2
F41y000,readv2
F41z.00,readv2
1202.0,med
1551.0,med
1552.0,med
21067.0,med
24347.0,med
24440.0,med
2484.0,med
2496.0,med
29800.0,med
30514.0,med
32028.0,med
34183.0,med
34373.0,med
35250.0,med
38407.0,med
38463.0,med
4232.0,med
45509.0,med
47730.0,med
50694.0,med
53020.0,med
53021.0,med
55469.0,med
61965.0,med
62773.0,med
62901.0,med
6836.0,med
71651.0,med
72901.0,med
8506.0,med
8691.0,med
F410100,readv2
F410300,readv2
F410400,readv2
F410700,readv2
F410200,readv2
F413300,readv2
F410500,readv2
F410600,readv2
F410800,readv2
F410900,readv2
F413400,readv2
H33.0,icd10
H33.3,icd10
H33.4,icd10
H33.5,icd10
C81,opcs4
C81.1,opcs4
C81.2,opcs4
C81.8,opcs4
C81.9,opcs4
